category,num_query_total,num_query_normal,num_query_defect,image_auroc,image_ap,accuracy,precision,recall,specificity,balanced_accuracy,f1,num_pred_positive,num_pred_negative,tp,tn,fp,fn,threshold,method,feature_source,candidate_name,coreset_ratio,knn_topk,defect_boost_weight,local_scale_neighbor_topk,support_consensus_topk,match_reweight_alpha,preproc_agreement_beta,subspace_dim,resize_mode,resize_patch_multiple,reference_bank_view,defect_bank_view,query_mask_mode,query_mask_policy,query_mask_active,rotation_policy,rotation_active,resolved_image_height,resolved_image_width,pixel_auroc,pro,num_support_train,num_support_holdout,num_support_defect,feature_cache_dir,feature_cache_written,cache_seconds,support_threshold_source,experiment,scope,seed
bottle,79,20,59,1.0,1.0,0.8734177215189873,1.0,0.8305084745762712,1.0,0.9152542372881356,0.9074074074074074,49,30,49,20,0,10,0.2961202561855316,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,1.0,1,0.0,0,0,0.0,0.0,0,square,14,base,base,pre_score,category_list,True,category_list,False,448,448,0.9189995590790022,0.9049145000034183,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\bottle\base_official_mask_v1,0,0.20143747329711914,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,weak5_bottle,42
carpet,113,28,85,1.0,1.0,0.8230088495575221,1.0,0.7647058823529411,1.0,0.8823529411764706,0.8666666666666666,65,48,65,28,0,20,0.3730938732624054,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,1.0,1,0.0,0,0,0.0,0.0,0,square,14,base,base,pre_score,category_list,False,category_list,False,448,448,0.9902336355938349,0.9745682049512591,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\carpet\base_official_mask_v1,0,2.1363439559936523,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,weak5_bottle,42
grid,74,21,53,0.9982030548068284,0.9993138936535162,0.9459459459459459,1.0,0.9245283018867925,1.0,0.9622641509433962,0.9607843137254902,49,25,49,21,0,4,0.3725128471851349,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,1.0,1,0.0,0,0,0.0,0.0,0,square,14,base,base,pre_score,category_list,False,category_list,False,448,448,0.9906534596099499,0.9576015215874023,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\grid\base_official_mask_v1,0,1.6353843212127686,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,weak5_bottle,42
leather,120,32,88,1.0,1.0,0.9666666666666667,1.0,0.9545454545454546,1.0,0.9772727272727273,0.9767441860465117,84,36,84,32,0,4,0.3102274537086487,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,1.0,1,0.0,0,0,0.0,0.0,0,square,14,base,base,pre_score,category_list,False,category_list,False,448,448,0.9914141699538176,0.9754484000228836,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\leather\base_official_mask_v1,0,2.367321252822876,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,weak5_bottle,42
screw,156,41,115,0.8123011664899258,0.9206917102749216,0.6666666666666666,0.8888888888888888,0.6260869565217392,0.7804878048780488,0.703287380699894,0.7346938775510204,81,75,72,32,9,43,0.19945259392261505,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,1.0,1,0.0,0,0,0.0,0.0,0,square,14,base,base,pre_score,category_list,True,category_list,True,448,448,0.9700038649677678,0.8900511555409074,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\screw\base_official_mask_v1,0,2.788815498352051,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,weak5_bottle,42
zipper,147,32,115,0.997554347826087,0.9993150490620639,0.8775510204081632,1.0,0.8434782608695652,1.0,0.9217391304347826,0.9150943396226415,97,50,97,32,0,18,0.19684432446956635,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,1.0,1,0.0,0,0,0.0,0.0,0,square,14,base,base,pre_score,category_list,False,category_list,False,448,448,0.9369448120338812,0.8566002212281476,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\zipper\base_official_mask_v1,0,2.967372417449951,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010_refb_defb_qmps_qpcl_rpcl,weak5_bottle,42
