category,num_query_total,num_query_normal,num_query_defect,image_auroc,image_ap,accuracy,precision,recall,specificity,balanced_accuracy,f1,num_pred_positive,num_pred_negative,tp,tn,fp,fn,threshold,method,feature_source,candidate_name,coreset_ratio,knn_topk,subspace_dim,pixel_auroc,pro,num_support_train,num_support_holdout,num_support_defect,feature_cache_dir,feature_cache_written,cache_seconds,support_threshold_source,experiment,scope,seed
bottle,79,20,59,1.0,1.0,0.9367088607594937,1.0,0.9152542372881356,1.0,0.9576271186440678,0.9557522123893806,54,25,54,20,0,5,0.26711881160736084,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9908542511617902,0.8885362175460696,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\bottle,0,0.029160499572753906,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,43
cable,146,58,88,0.9402429467084639,0.9676013668327144,0.7945205479452054,1.0,0.6590909090909091,1.0,0.8295454545454546,0.7945205479452054,58,88,58,58,0,30,0.30840808153152466,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9641732042918529,0.85317544127054,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\cable,0,0.02263808250427246,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,43
capsule,128,23,105,0.9590062111801242,0.9895416622191033,0.9453125,0.9711538461538461,0.9619047619047619,0.8695652173913043,0.9157349896480331,0.9665071770334929,104,24,101,20,3,4,0.16689316928386688,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9866014746907141,0.7855971109583603,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\capsule,0,0.01981186866760254,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,43
carpet,113,28,85,1.0,1.0,0.9292035398230089,1.0,0.9058823529411765,1.0,0.9529411764705882,0.9506172839506173,77,36,77,28,0,8,0.37187686562538147,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9910912535811338,0.8715068007110556,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\carpet,0,0.017648935317993164,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,43
grid,74,21,53,0.9982030548068284,0.9993138936535162,0.6081081081081081,1.0,0.4528301886792453,1.0,0.7264150943396226,0.6233766233766235,24,50,24,21,0,29,0.5089108347892761,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9910422814073621,0.93373224962176,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\grid,0,0.013062477111816406,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,43
hazelnut,106,40,66,0.9946969696969696,0.9971360867667686,0.839622641509434,1.0,0.7424242424242424,1.0,0.8712121212121212,0.8521739130434782,49,57,49,40,0,17,0.3428434133529663,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9961077652879345,0.9573300484198856,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\hazelnut,0,0.017312288284301758,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,43
leather,120,32,88,1.0,1.0,0.9833333333333333,1.0,0.9772727272727273,1.0,0.9886363636363636,0.9885057471264368,86,34,86,32,0,2,0.3637727200984955,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9895021126947147,0.9321575902421623,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\leather,15,1.281994342803955,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,43
metal_nut,111,22,89,0.9989785495403473,0.9997489093689068,0.9459459459459459,1.0,0.9325842696629213,1.0,0.9662921348314606,0.9651162790697675,83,28,83,22,0,6,0.2870740592479706,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9753202827801364,0.9181667274756218,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\metal_nut,14,0.776170015335083,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,43
pill,163,26,137,0.9769792251544076,0.9954812453886295,0.9325153374233128,0.9701492537313433,0.948905109489051,0.8461538461538461,0.8975294778214487,0.959409594095941,134,29,130,22,4,7,0.18560762703418732,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9696652302236212,0.8870468606550164,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\pill,15,0.9586436748504639,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,43
screw,156,41,115,0.7698833510074231,0.8644045915740499,0.7564102564102564,0.8666666666666667,0.7913043478260869,0.6585365853658537,0.7249204665959703,0.8272727272727274,105,51,91,27,14,24,0.18353691697120667,patchcore_knn,last,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,1.0,1,0,0.9422298852127701,0.7686675832761704,12,4,4,outputs\feature_cache_dinov2\stage4_pure_visual\dinov2_vits14\img448\last\screw,16,0.9456710815429688,support_holdout_plus_support_defect_best_balanced_accuracy,dinov2_vits14_last_patchcore_knn_k001_core1000_topk010,full15,43
