experiment,category,num_query_total,num_query_normal,num_query_defect,image_auroc,image_ap,accuracy,precision,recall,specificity,balanced_accuracy,f1,num_pred_positive,num_pred_negative,threshold
E0,bottle,79,20,59,0.9584745762711865,0.9865197944823791,0.25316455696202533,0.0,0.0,1.0,0.5,0.0,0,79,1.1828869581222534
E0,cable,146,58,88,0.8244514106583072,0.8869871889841615,0.3972602739726027,0.0,0.0,1.0,0.5,0.0,0,146,1.1550183296203613
E0,capsule,128,23,105,0.6339544513457556,0.8862812600587128,0.1796875,0.0,0.0,1.0,0.5,0.0,0,128,1.196179986000061
E0,carpet,113,28,85,0.4323529411764706,0.7027276228227657,0.24778761061946902,0.0,0.0,1.0,0.5,0.0,0,113,1.2027711868286133
E0,grid,74,21,53,0.4564240790655885,0.6770378357469061,0.28378378378378377,0.0,0.0,1.0,0.5,0.0,0,74,1.164458155632019
E0,hazelnut,106,40,66,0.6412878787878789,0.7727680621145164,0.5660377358490566,0.6923076923076923,0.5454545454545454,0.6,0.5727272727272728,0.6101694915254238,52,54,0.16823235154151917
E0,leather,120,32,88,0.41938920454545453,0.712704949267767,0.26666666666666666,0.0,0.0,1.0,0.5,0.0,0,120,1.1720426082611084
E0,metal_nut,111,22,89,0.6889683350357507,0.908441338981737,0.1981981981981982,0.0,0.0,1.0,0.5,0.0,0,111,1.1606640815734863
E0,pill,163,26,137,0.7886019090398653,0.949256315719367,0.15950920245398773,0.0,0.0,1.0,0.5,0.0,0,163,1.2219524383544922
E0,screw,156,41,115,0.488016967126193,0.7282816795186362,0.26282051282051283,0.0,0.0,1.0,0.5,0.0,0,156,1.1384304761886597
E0,tile,113,33,80,0.899621212121212,0.9606796436979476,0.2920353982300885,0.0,0.0,1.0,0.5,0.0,0,113,1.1723688840866089
E0,toothbrush,38,12,26,0.9038461538461539,0.9584188408169131,0.3157894736842105,0.0,0.0,1.0,0.5,0.0,0,38,1.2133361101150513
E0,transistor,96,60,36,0.8921296296296296,0.8708962528027059,0.625,0.0,0.0,1.0,0.5,0.0,0,96,1.1683433055877686
E0,wood,75,19,56,0.9313909774436091,0.9738054033967689,0.25333333333333335,0.0,0.0,1.0,0.5,0.0,0,75,1.1408941745758057
E0,zipper,147,32,115,0.8135869565217392,0.9337907796558468,0.21768707482993196,0.0,0.0,1.0,0.5,0.0,0,147,1.1949936151504517
promptad_ctx__clip_global,bottle,79,20,59,0.9550847457627119,0.9864371604499524,0.46835443037974683,1.0,0.288135593220339,1.0,0.6440677966101696,0.4473684210526315,17,62,1.7370156136291086
promptad_ctx__clip_global,cable,146,58,88,0.7460815047021944,0.8380638605943195,0.6301369863013698,0.8541666666666666,0.4659090909090909,0.8793103448275862,0.6726097178683386,0.6029411764705882,48,98,0.5332175432899177
promptad_ctx__clip_global,capsule,128,23,105,0.55527950310559,0.8468399387829961,0.5,0.8360655737704918,0.4857142857142857,0.5652173913043478,0.5254658385093167,0.6144578313253012,61,67,0.6899694971324198
promptad_ctx__clip_global,carpet,113,28,85,0.9609243697478992,0.9891255511587348,0.9380530973451328,0.9642857142857143,0.9529411764705882,0.8928571428571429,0.9228991596638656,0.9585798816568047,84,29,0.13524122906398853
promptad_ctx__clip_global,grid,74,21,53,0.5696316262353999,0.7818817512519922,0.581081081081081,0.7619047619047619,0.6037735849056604,0.5238095238095238,0.5637915543575921,0.6736842105263159,42,32,0.1823205365086927
promptad_ctx__clip_global,hazelnut,106,40,66,0.8999999999999999,0.9544952681687583,0.839622641509434,0.8656716417910447,0.8787878787878788,0.775,0.8268939393939394,0.8721804511278195,67,39,0.0851875688790097
promptad_ctx__clip_global,leather,120,32,88,0.9889914772727273,0.9970397249809014,0.9916666666666667,1.0,0.9886363636363636,1.0,0.9943181818181819,0.9942857142857142,87,33,0.6756906719504935
promptad_ctx__clip_global,metal_nut,111,22,89,0.7323799795709909,0.9285083022708588,0.5495495495495496,0.975609756097561,0.449438202247191,0.9545454545454546,0.7019918283963228,0.6153846153846153,41,70,0.7799954151451225
promptad_ctx__clip_global,pill,163,26,137,0.8138686131386861,0.9596675900333222,0.8159509202453987,0.8962962962962963,0.8832116788321168,0.46153846153846156,0.6723750701852892,0.8897058823529411,135,28,-0.40798291679054743
promptad_ctx__clip_global,screw,156,41,115,0.6653234358430542,0.8047849776302783,0.6794871794871795,0.8282828282828283,0.7130434782608696,0.5853658536585366,0.649204665959703,0.7663551401869159,99,57,-0.1536433023008613
promptad_ctx__clip_global,tile,113,33,80,0.9401515151515151,0.9778322415434235,0.8672566371681416,0.9850746268656716,0.825,0.9696969696969697,0.8973484848484848,0.8979591836734693,67,46,0.1265496657641088
promptad_ctx__clip_global,toothbrush,38,12,26,0.7147435897435898,0.8763128981019405,0.7368421052631579,0.7352941176470589,0.9615384615384616,0.25,0.6057692307692308,0.8333333333333333,34,4,-0.6504901696116295
promptad_ctx__clip_global,transistor,96,60,36,0.75,0.7044472397001721,0.7083333333333334,0.6818181818181818,0.4166666666666667,0.8833333333333333,0.65,0.5172413793103449,22,74,0.6013121275312571
promptad_ctx__clip_global,wood,75,19,56,0.9022556390977444,0.9711616112765472,0.7733333333333333,1.0,0.6964285714285714,1.0,0.8482142857142857,0.8210526315789474,39,36,1.1020773190964588
promptad_ctx__clip_global,zipper,147,32,115,0.7258152173913044,0.9137888248948657,0.6530612244897959,0.8404255319148937,0.6869565217391305,0.53125,0.6091032608695652,0.7559808612440192,94,53,0.024246746951541595
