experiment,track,scope,seed,num_categories,num_test_images,num_query_normal,num_query_defect,image_auroc_mean,image_ap_mean,accuracy,precision,recall,specificity,balanced_accuracy,f1,num_pred_positive,num_pred_negative,weak5_image_auroc_mean,weak5_image_ap_mean,bottle_image_auroc,selection_source,threshold_source,threshold_value,selection_epoch
E0,prompt-text,full15,42,15,1665,467,1198,0.7181664455076529,0.8605731312044753,0.2924924924924925,0.6923076923076923,0.03005008347245409,0.9657387580299786,0.4978944207512163,0.057600000000000005,52,1613,0.7010015790245435,0.8515769409703394,0.9584745762711865,frozen_stage2_winner,per_category_pooled_multisplit_holdout_best_balanced_accuracy,per_category,
promptad_ctx__clip_global,prompt-text,full15,42,15,1665,467,1198,0.7947020811175604,0.9020257960559376,0.7195195195195195,0.8900747065101388,0.6961602671118531,0.7794432548179872,0.7378017609649201,0.7812646370023419,937,728,0.7832461765000496,0.8959964128849365,0.9550847457627119,multisplit_holdout_mean_auroc_ap_balanced_accuracy,per_category_pooled_multisplit_holdout_best_balanced_accuracy,per_category,"21,30,30"
