experiment,track,scope,seed,num_categories,num_test_images,num_query_normal,num_query_defect,image_auroc_mean,image_ap_mean,accuracy,precision,recall,specificity,balanced_accuracy,f1,num_pred_positive,num_pred_negative,weak5_image_auroc_mean,weak5_image_ap_mean,bottle_image_auroc,selection_source,threshold_source,threshold_value,selection_epoch
E0,prompt-text,full15,43,15,1665,467,1198,0.6806305584998309,0.8456454129205727,0.2978978978978979,0.6629213483146067,0.049248747913188645,0.9357601713062098,0.49250445960969924,0.09168609168609168,89,1576,0.6588475112256057,0.8349341817190931,0.985593220338983,frozen_stage2_winner,per_category_pooled_multisplit_holdout_best_balanced_accuracy,per_category,
promptad_ctx__clip_global,prompt-text,full15,43,15,1665,467,1198,0.8280834383656503,0.9207672982932554,0.6528528528528529,0.8753026634382567,0.6035058430717863,0.7794432548179872,0.6914745489448868,0.7144268774703557,826,839,0.8228860084184025,0.9173531034633563,0.9008474576271187,multisplit_holdout_mean_auroc_ap_balanced_accuracy,per_category_pooled_multisplit_holdout_best_balanced_accuracy,per_category,"1,45,44"
